file,section,bezirk,name
"bruecken_tagesspiegel.json","","Pankow","Bahnhofstraßenbrücke"
"bruecken_tagesspiegel.json","","Charlottenburg-Wilmersdorf","Brücke Parkhaus ICC"
"bruecken_tagesspiegel.json","","Charlottenburg-Wilmersdorf","Brücke Lietzensee-Durchlass"
"bruecken_tagesspiegel.json","","Spandau","Spektegrabensteg"
"bruecken_tagesspiegel.json","","Spandau","Fußgängerbrücke über die Stieglakegraben"
"bruecken_tagesspiegel.json","","Spandau","Spektegrabenbrücke"
"bruecken_tagesspiegel.json","","Spandau","Fußgängerbrücke über den Elsengraben"
"bruecken_tagesspiegel.json","","Steglitz-Zehlendorf","Brücke über den Erlenbruch"
"bruecken_tagesspiegel.json","","Tempelhof-Schöneberg","Fußgängerbrücke Priesterweg"
"bruecken_tagesspiegel.json","","Tempelhof-Schöneberg","Fußgängerbrücke über den Königsgraben"
"bruecken_tagesspiegel.json","","Tempelhof-Schöneberg","Fußgängerbrücke über den Poleigraben"
"bruecken_tagesspiegel.json","","Treptow-Köpenick","Fußgängerbrücke Rebenweg"
"bruecken_tagesspiegel.json","","Treptow-Köpenick","Brücke Am Neuen Krug"
"bruecken_tagesspiegel.json","","Treptow-Köpenick","Südliche Rialtoringbrücke"
"bruecken_tagesspiegel.json","","Marzahn-Hellersdorf","Bürknersfelder Straßenbrücke"
"bruecken_tagesspiegel.json","","Marzahn-Hellersdorf","Südliche Bitterfelder Brücke"
"bruecken_tagesspiegel.json","","Marzahn-Hellersdorf","Südöstliche Blumberger-Damm-Brücke"
"bruecken_tagesspiegel.json","","Marzahn-Hellersdorf","Südwestliche Blumberger-Damm-Brücke"
"bruecken_tagesspiegel.json","","Marzahn-Hellersdorf","Fußgängerbrücke am Stadion Wuhletal"
"bruecken_tagesspiegel.json","","Lichtenberg","Nördliche Falkenberger Brücke"
"bruecken_tagesspiegel.json","","Lichtenberg","Südliche Falkenberger Brücke"
"bruecken.json","bezirke","Friedrichshain-Kreuzberg","Brommybrücke"
"bruecken.json","bezirke","Pankow","Bahnhofstraßenbrücke"
"bruecken.json","bezirke","Pankow","Pankebrücke I"
"bruecken.json","bezirke","Pankow","Pankebrücke II"
"bruecken.json","bezirke","Charlottenburg-Wilmersdorf","Brücke Parkhaus ICC - Halenseestraße West"
"bruecken.json","bezirke","Charlottenburg-Wilmersdorf","Brücke Lietzensee-Durchlass"
"bruecken.json","bezirke","Spandau","Spektegrabensteg"
"bruecken.json","bezirke","Spandau","Fußgängerbrücke über die Stieglakegraben"
"bruecken.json","bezirke","Spandau","Spektegrabenbrücke"
"bruecken.json","bezirke","Spandau","Fußgängerbrücke über den Elsengraben"
"bruecken.json","bezirke","Steglitz-Zehlendorf","Brücke über den Erlenbruch"
"bruecken.json","bezirke","Tempelhof-Schöneberg","Fußgängerbrücke Priesterweg"
"bruecken.json","bezirke","Tempelhof-Schöneberg","Fußgängerbrücke über den Königsgraben"
"bruecken.json","bezirke","Tempelhof-Schöneberg","Fußgängerbrücke über den Poleigraben"
"bruecken.json","bezirke","Treptow-Köpenick","Fußgängerbrücke Rebenweg"
"bruecken.json","bezirke","Treptow-Köpenick","Brücke Am Neuen Krug"
"bruecken.json","bezirke","Treptow-Köpenick","Südliche Rialtoringbrücke"
"bruecken.json","bezirke","Marzahn-Hellersdorf","Bürknersfelder Straßenbrücke"
"bruecken.json","bezirke","Marzahn-Hellersdorf","Südliche Bitterfelder Brücke"
"bruecken.json","bezirke","Marzahn-Hellersdorf","Südöstliche Blumberger-Damm-Brücke"
"bruecken.json","bezirke","Marzahn-Hellersdorf","Südwestliche Blumberger-Damm-Brücke"
"bruecken.json","bezirke","Marzahn-Hellersdorf","Fußgängerbrücke am Stadion Wuhletal"
"bruecken.json","bezirke","Lichtenberg","Nördliche Falkenberger Brücke"
"bruecken.json","bezirke","Lichtenberg","Südliche Falkenberger Brücke"
"bruecken.json","erhaltungsmassnahmen","Mitte","Brücke Bremer Weg West"
"bruecken.json","erhaltungsmassnahmen","Spandau","Fußgängerbrücke Pulvermühle VII"
"bruecken.json","erhaltungsmassnahmen","Spandau","Fußgängerbrücke Pulvermühle VIII"
"bruecken.json","erhaltungsmassnahmen","Steglitz-Zehlendorf","Glienicker Tunnel"